de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
treiben        ,treiben      ;treibt           ;trieb              ;hat/ist#getrieben         ,float          ,                     ,true, 0.5,,,
treten         ,treten       ;tritt            ;trat               ;hat/ist#getreten          ,step           ,                     ,true, 0.5,,,
trinken        ,trinken      ;trinkt           ;trank              ;hat#getrunken             ,drink          ,                     ,true, 0.5,,,
trügen         ,trügen       ;trügt            ;trog               ;hat#getrogen              ,deceive        ,                     ,true, 0.5,,,
tun            ,tun          ;tut              ;tat                ;hat#getan                 ,do             ,                     ,true, 0.5,,,
verderben      ,verderben    ;verdirbt         ;verdarb            ;hat/ist#verdorben         ,spoil/ruin     ,                     ,true, 0.5,,,
verdrießen     ,verdrießen   ;verdrießt        ;verdross           ;hat#verdrossen            ,annoy/irritate ,                     ,true, 0.5,,,
vergessen      ,vergessen    ;vergisst         ;vergaß             ;hat#vergessen             ,forget         ,                     ,true, 0.5,,,
verlieren      ,verlieren    ;verliert         ;verlor             ;hat#verloren              ,lose           ,                     ,true, 0.5,,,
verzeihen      ,verzeihen    ;verzeiht         ;verzieh            ;hat#verziehen             ,forgive        ,                     ,true, 0.5,,,
wachsen        ,wachsen      ;wächst           ;wuchs              ;ist#gewachsen             ,grow           ,                     ,true, 0.5,,,
wägen          ,wägen        ;wägt             ;wog                ;hat#gewogen               ,weigh          ,                     ,true, 0.5,,,
waschen        ,waschen      ;wäscht           ;wusch              ;hat#gewaschen             ,wash           ,                     ,true, 0.5,,,
weichen        ,weichen      ;weicht           ;wich               ;ist#gewichen              ,yield          ,                     ,true, 0.5,,,
weisen         ,weisen       ;weist#           ;wies               ;hat#gewiesen              ,point          ,                     ,true, 0.5,,,
wenden         ,wenden       ;wendet           ;wandte/wendete     ;hat#gewandt/gewendet      ,turn           ,                     ,true, 0.5,,,
werben         ,werben       ;wirbt            ;warb               ;hat#geworben              ,advertise      ,                     ,true, 0.5,,,
werden         ,werden       ;wird             ;wurde              ;ist#geworden              ,become         ,                     ,true, 0.5,,,
werfen         ,werfen       ;wirft            ;warf               ;hat#geworfen              ,throw          ,                     ,true, 0.5,,,
wiegen         ,wiegen       ;wiegt            ;wog                ;hat#gewogen               ,weigh          ,                     ,true, 0.5,,,
winden         ,winden       ;windet           ;wand               ;hat#gewunden              ,wind           ,                     ,true, 0.5,,,
wissen         ,wissen       ;weiß             ;wusste             ;hat#gewusst               ,know           ,                     ,true, 0.5,,,
wollen         ,wollen       ;will             ;wollte             ;hat#gewollt               ,want           ,                     ,true, 0.5,,,
ziehen         ,ziehen       ;zieht            ;zog                ;hat/ist#gezogen           ,pull           ,                     ,true, 0.5,,,
zwingen        ,zwingen      ;zwingt           ;zwang              ;hat#gezwungen             ,force          ,                     ,true, 0.5,,,
